baseline_strength,n_samples,metric,label,pearson_r,pearson_p,spearman_r,spearman_p,mean_delta_acc,metric_mean,metric_std
Strong,14,A_hit_mean,异常max偶然命中,-0.09345121136538626,0.7506684133215171,-0.0990099609031255,0.7363048257178261,-4.510714285714286,0.24076189313616073,0.07853550390000837
Strong,14,B_separation,判别分离度,0.21869540849217756,0.45255825988927495,0.16721682285861195,0.5677401146336072,-4.510714285714286,0.00728607177734375,0.006857044912198221
Strong,14,B_overlap,裕度重叠率,-0.21932784379579845,0.4512192881482908,-0.22442257804708443,0.4405042817066751,-4.510714285714286,0.4612339564732143,0.23499005001178627
Strong,14,C_collapse_score,原型塌缩分数,-0.3357898647697043,0.24049686685738791,-0.31243143218319597,0.276798791058865,-4.510714285714286,0.933349609375,0.0201576151468003
Medium,6,A_hit_mean,异常max偶然命中,0.7005631535920525,0.12106952059044634,0.8285714285714287,0.04156268221574334,-4.236666666666667,0.21929931640625,0.07827499296114612
Medium,6,B_separation,判别分离度,-0.2876727809752378,0.5803940994926698,-0.48571428571428577,0.3287230320699709,-4.236666666666667,0.0028813680013020835,0.005596647737627407
Medium,6,B_overlap,裕度重叠率,-0.5900966173912223,0.21759503094584867,-0.4285714285714286,0.3965014577259474,-4.236666666666667,0.7066243489583334,0.11825902396590843
Medium,6,C_collapse_score,原型塌缩分数,0.31158059430665686,0.5477536148831399,0.6,0.20799999999999982,-4.236666666666667,0.9447428385416666,0.01056501923563708
Weak,7,A_hit_mean,异常max偶然命中,0.6282438709027807,0.1308091110128296,0.4642857142857144,0.2939341076002517,-4.7057142857142855,0.24591936383928573,0.04812501673795448
Weak,7,B_separation,判别分离度,0.3777452627952815,0.40347569449517307,0.03571428571428572,0.9394082054712856,-4.7057142857142855,0.0015247889927455357,0.0020900476648630486
Weak,7,B_overlap,裕度重叠率,-0.18140565308377715,0.6970783246998128,-0.07142857142857144,0.8790481931481541,-4.7057142857142855,0.7511858258928571,0.1608644923915779
Weak,7,C_collapse_score,原型塌缩分数,-0.1435546229942733,0.7587974583470438,0.1785714285714286,0.7016579425162729,-4.7057142857142855,0.9361746651785714,0.031001968625988186
