class,i_roc_v1,p_roc_v1,i_roc_v2,p_roc_v2,fusion_v1,semantic_v1,fusion_v2,semantic_v2,i_roc_diff,fusion_diff,semantic_diff
mvtec-carpet,99.96,0.0,99.96,0.0,99.45826645264847,100.0,97.99357945425359,99.81942215088282,0.0,-1.4646869983948818,-0.180577849117185
mvtec-grid,99.83,0.0,99.83,0.0,46.157059314954054,97.41019214703425,46.99248120300752,97.28487886382624,0.0,0.8354218880534674,-0.1253132832080155
mvtec-leather,100.0,0.0,99.9,0.0,99.45652173913044,99.42255434782608,99.18478260869564,99.55842391304348,-0.09999999999999432,-0.2717391304347956,0.1358695652174049
mvtec-tile,99.93,0.0,99.96,0.0,99.85569985569984,99.96392496392495,99.8917748917749,99.85569985569984,0.029999999999986926,0.03607503607506146,-0.10822510822511333
mvtec-wood,99.65,0.0,99.91,0.0,91.53508771929823,97.80701754385964,96.40350877192982,96.53508771929825,0.2599999999999909,4.868421052631589,-1.271929824561397
mvtec-bottle,98.97,0.0,100.0,0.0,100.0,99.2063492063492,99.76190476190476,99.04761904761904,1.0300000000000011,-0.2380952380952408,-0.15873015873016527
mvtec-cable,88.32,0.0,90.1,0.0,78.46701649175412,77.07083958020988,79.16979010494752,76.09632683658171,1.7800000000000011,0.7027736131934006,-0.9745127436281678
mvtec-capsule,65.12,0.0,65.42,0.0,75.32907857997607,67.11208615875547,75.30913442361388,66.8328679696849,0.29999999999999716,-0.01994415636218605,-0.2792181890705763
mvtec-hazelnut,87.57,0.0,88.29,0.0,81.875,88.08928571428572,85.25,85.55357142857142,0.7200000000000131,3.375,-2.535714285714306
mvtec-metal_nut,95.8,0.0,93.96,0.0,83.9442815249267,93.23069403714565,83.84652981427175,91.32453567937439,-1.8400000000000034,-0.09775171065494703,-1.906158357771261
mvtec-pill,87.21,0.0,83.31,0.0,92.10310965630116,85.20185488270594,91.89852700490998,73.99072558647026,-3.8999999999999915,-0.2045826513911777,-11.211129296235683
mvtec-screw,75.32,0.0,75.34,0.0,50.174216027874564,73.10924369747899,50.13322402131584,71.64377946300472,0.020000000000010232,-0.04099200655872437,-1.4654642344742683
mvtec-toothbrush,85.83,0.0,81.39,0.0,76.11111111111111,83.33333333333334,76.38888888888889,83.47222222222223,-4.439999999999998,0.27777777777777146,0.13888888888888573
mvtec-transistor,87.96,0.0,88.08,0.0,81.125,82.47916666666667,78.14583333333333,81.45833333333331,0.12000000000000455,-2.9791666666666714,-1.020833333333357
mvtec-zipper,94.93,0.0,93.83,0.0,98.05672268907564,94.8529411764706,98.12237394957984,93.10661764705884,-1.1000000000000085,0.06565126050419678,-1.7463235294117538
visa-candle,91.36,0.0,93.26,0.0,81.87499999999999,84.8865,83.38,84.71249999999999,1.9000000000000057,1.5050000000000097,-0.1740000000000066
visa-capsules,70.14,0.0,71.07,0.0,52.58388704318937,71.66362126245846,56.200996677740854,62.45431893687707,0.9299999999999926,3.6171096345514826,-9.20930232558139
visa-cashew,89.26,0.0,84.76,0.0,86.626,89.58000000000001,83.145,85.05,-4.5,-3.4810000000000088,-4.530000000000015
visa-chewinggum,93.13,0.0,93.57,0.0,85.33499005964217,90.92644135188867,84.76739562624255,94.85288270377734,0.4399999999999977,-0.5675944333996199,3.92644135188867
visa-fryum,83.13,0.0,84.53,0.0,89.019,72.01199999999999,89.696,69.138,1.4000000000000057,0.6769999999999925,-2.873999999999981
visa-macaroni1,82.72,0.0,81.26,0.0,73.99749999999999,88.00000000000001,75.376,89.4685,-1.4599999999999937,1.3785000000000167,1.4684999999999917
visa-macaroni2,65.44,0.0,62.66,0.0,61.39699999999999,70.61949999999999,61.1075,67.154,-2.780000000000001,-0.28949999999998965,-3.4654999999999916
visa-pcb1,92.52,0.0,91.11,0.0,88.24651394422311,92.57320717131475,88.44173306772909,91.10059760956176,-1.4099999999999966,0.1952191235059786,-1.4726095617529893
visa-pcb2,70.07,0.0,72.95,0.0,76.02697302697302,65.38161838161838,75.82267732267732,66.02497502497502,2.8800000000000097,-0.20429570429570276,0.6433566433566398
visa-pcb3,60.83,0.0,61.83,0.0,55.30566600397614,64.8096421471173,54.30666003976143,62.5765407554672,1.0,-0.9990059642147102,-2.233101391650102
visa-pcb4,86.45,0.0,85.79,0.0,82.7547263681592,84.00447761194029,80.29800995024875,82.35820895522387,-0.6599999999999966,-2.4567164179104424,-1.6462686567164155
visa-pipe_fryum,90.29,0.0,89.98,0.0,59.837,85.038,62.168,84.925,-0.3100000000000023,2.330999999999996,-0.11299999999999955
