class,is_representative,fusion_v1,semantic_v1,sep_v1,fusion_v2,semantic_v2,sep_v2,fusion_v2_vs_v1,semantic_v2_vs_v1,sep_v2_vs_v1,v1_fusion_adv,v2_semantic_adv
mvtec-carpet,True,99.45826645264847,100.0,1.535,97.99357945425359,99.81942215088282,2.309,-1.4646869983948818,-0.180577849117185,0.7740000000000002,1.4646869983948818,-0.180577849117185
mvtec-grid,False,46.157059314954054,97.41019214703425,0.4465,46.99248120300752,97.28487886382624,0.4514,0.8354218880534674,-0.1253132832080155,0.0049000000000000155,-0.8354218880534674,-0.1253132832080155
mvtec-leather,True,99.45652173913044,99.42255434782608,2.09,99.18478260869564,99.55842391304348,1.567,-0.2717391304347956,0.1358695652174049,-0.5229999999999999,0.2717391304347956,0.1358695652174049
mvtec-tile,False,99.85569985569984,99.96392496392495,1.681,99.8917748917749,99.85569985569984,2.709,0.03607503607506146,-0.10822510822511333,1.028,-0.03607503607506146,-0.1082
2510822511333
mvtec-wood,False,91.53508771929823,97.80701754385964,-0.0552,96.40350877192982,96.53508771929825,0.07697,4.868421052631589,-1.271929824561397,0.13217,-4.868421052631589,-1.271929824561397
mvtec-bottle,False,100.0,99.2063492063492,0.9,99.76190476190476,99.04761904761904,1.164,-0.2380952380952408,-0.15873015873016527,0.2639999999999999,0.2380952380952408,-0.15873015873016527
mvtec-cable,False,78.46701649175412,77.07083958020988,4.01,79.16979010494752,76.09632683658171,3.926,0.7027736131934006,-0.9745127436281678,-0.08399999999999963,-0.7027736131934006,-0.9745127436281678
mvtec-capsule,True,75.32907857997607,67.11208615875547,0.6045,75.30913442361388,66.8328679696849,0.6104,-0.01994415636218605,-0.2792181890705763,0.005900000000000016,0.01994415636218605,-0.2792181890705763
mvtec-hazelnut,False,81.875,88.08928571428572,0.1638,85.25,85.55357142857142,0.865,3.375,-2.535714285714306,0.7012,-3.375,-2.535714285714306
mvtec-metal_nut,False,83.9442815249267,93.23069403714565,1.061,83.84652981427175,91.32453567937439,1.139,-0.09775171065494703,-1.906158357771261,0.07800000000000007,0.09775171065494703,-1.906158357771261
mvtec-pill,False,92.10310965630116,85.20185488270594,3.234,91.89852700490998,73.99072558647026,1.261,-0.2045826513911777,-11.211129296235683,-1.973,0.2045826513911777,-11.211129296235683
mvtec-screw,True,50.174216027874564,73.10924369747899,0.04697,50.13322402131584,71.64377946300472,0.01715,-0.04099200655872437,-1.4654642344742683,-0.02982,0.04099200655872437,-1.4654642344742683
mvtec-toothbrush,True,76.11111111111111,83.33333333333334,1.663,76.38888888888889,83.47222222222223,2.969,0.27777777777777146,0.13888888888888573,1.3059999999999998,-0.27777777777777146,0.13888888888888573
mvtec-transistor,False,81.125,82.47916666666667,1.273,78.14583333333333,81.45833333333331,0.6685,-2.9791666666666714,-1.020833333333357,-0.6044999999999999,2.9791666666666714,-1.020833333333357
mvtec-zipper,False,98.05672268907564,94.8529411764706,4.254,98.12237394957984,93.10661764705884,1.742,0.06565126050419678,-1.7463235294117538,-2.5119999999999996,-0.06565126050419678,-1.7463235294117538
visa-candle,False,81.87499999999999,84.8865,1.434,83.38,84.71249999999999,3.162,1.5050000000000097,-0.1740000000000066,1.728,-1.5050000000000097,-0.1740000000000066
visa-capsules,False,52.58388704318937,71.66362126245846,3.21,56.200996677740854,62.45431893687707,0.4182,3.6171096345514826,-9.20930232558139,-2.7918,-3.6171096345514826,-9.20930232558139
visa-cashew,False,86.626,89.58000000000001,1.337,83.145,85.05,-0.03372,-3.4810000000000088,-4.530000000000015,-1.37072,3.4810000000000088,-4.530000000000015
visa-chewinggum,False,85.33499005964217,90.92644135188867,3.06,84.76739562624255,94.85288270377734,3.703,-0.5675944333996199,3.92644135188867,0.6429999999999998,0.5675944333996199,3.92644135188867
visa-fryum,False,89.019,72.01199999999999,0.2163,89.696,69.138,0.2225,0.6769999999999925,-2.873999999999981,0.006200000000000011,-0.6769999999999925,-2.873999999999981
visa-macaroni1,False,73.99749999999999,88.00000000000001,1.3,75.376,89.4685,2.582,1.3785000000000167,1.4684999999999917,1.2819999999999998,-1.3785000000000167,1.4684999999999917
visa-macaroni2,False,61.39699999999999,70.61949999999999,1.259,61.1075,67.154,1.449,-0.28949999999998965,-3.4654999999999916,0.19000000000000017,0.28949999999998965,-3.4654999999999916
visa-pcb1,False,88.24651394422311,92.57320717131475,3.592,88.44173306772909,91.10059760956176,3.191,0.1952191235059786,-1.4726095617529893,-0.40100000000000025,-0.1952191235059786,-1.4726095617529893
visa-pcb2,True,76.02697302697302,65.38161838161838,3.645,75.82267732267732,66.02497502497502,3.633,-0.20429570429570276,0.6433566433566398,-0.01200000000000001,0.20429570429570276,0.6433566433566398
visa-pcb3,False,55.30566600397614,64.8096421471173,3.139,54.30666003976143,62.5765407554672,3.402,-0.9990059642147102,-2.233101391650102,0.26300000000000034,0.9990059642147102,-2.233101391650102
visa-pcb4,False,82.7547263681592,84.00447761194029,0.892,80.29800995024875,82.35820895522387,-0.0283,-2.4567164179104424,-1.6462686567164155,-0.9203,2.4567164179104424,-1.6462686567164155
visa-pipe_fryum,False,59.837,85.038,2.652,62.168,84.925,2.816,2.330999999999996,-0.11299999999999955,0.1639999999999997,-2.330999999999996,-0.11299999999999955
