metric,group,mean,std,median,n
C_collapse_score,Severe Degrade,0.9387872869318182,0.02107008303108648,0.94140625,11
C_collapse_score,Mild Degrade,0.943359375,0.01105573417821725,0.94287109375,7
C_collapse_score,Stable,0.9322509765625,0.0271145302090352,0.923583984375,8
C_collapse_score,Improved,0.900390625,,0.900390625,1
B_separation,Severe Degrade,0.003099614923650568,0.0032723576727163423,0.002197265625,11
B_separation,Mild Degrade,0.004159109933035714,0.005886932690998337,0.004608154296875,7
B_separation,Stable,0.0077304840087890625,0.008939161237835221,0.0073699951171875,8
B_separation,Improved,0.004913330078125,,0.004913330078125,1
B_overlap,Severe Degrade,0.6767134232954546,0.2206673873238101,0.7314453125,11
B_overlap,Mild Degrade,0.6464146205357143,0.12940510366455435,0.61767578125,7
B_overlap,Stable,0.425018310546875,0.2747696694542391,0.4068603515625,8
B_overlap,Improved,0.58642578125,,0.58642578125,1
A_hit_mean,Severe Degrade,0.2087679776278409,0.08881978610493013,0.2091064453125,11
A_hit_mean,Mild Degrade,0.2545689174107143,0.059474257154496175,0.26806640625,7
A_hit_mean,Stable,0.2514801025390625,0.034076921546081836,0.25390625,8
A_hit_mean,Improved,0.317626953125,,0.317626953125,1
