class     , baseline_semantic, multi_prototype, diff
toothbrush,             69.58,           89.44, 19.86
screw     ,             66.42,           79.57, 13.15
hazelnut  ,             80.11,           91.14, 11.03
capsule   ,             73.69,           80.65, 6.96
metal_nut ,             85.56,           88.71, 3.15
bottle    ,             95.52,           98.25, 2.73
cable     ,             83.60,           86.00, 2.40
zipper    ,             94.22,           95.46, 1.24
wood      ,             98.82,           99.65, 0.83
pill      ,             85.50,           86.12, 0.62
grid      ,             98.87,           99.00, 0.13
carpet    ,            100.00,          100.00, 0.00
leather   ,            100.00,          100.00, 0.00
tile      ,             99.96,           99.93, -0.03
transistor,             89.60,           78.08, -11.52
