Class,Baseline_Full,Baseline_Semantic,Prompt1_Semantic,Prompt1_Fusion,Semantic_Improvement,Fusion_vs_Baseline_Full,Fusion_vs_Semantic
bottle,97.87,95.52,98.25,98.17,2.73,0.30,-0.08
cable,87.69,83.60,86.00,86.00,2.40,-1.69,0.00
capsule,76.06,73.69,80.65,80.65,6.96,4.59,0.00
carpet,99.92,100.00,100.00,100.00,0.00,0.08,0.00
grid,99.42,98.87,99.00,99.00,0.13,-0.42,0.00
hazelnut,97.07,80.11,91.14,88.55,11.03,-8.52,-2.59
leather,100.00,100.00,100.00,100.00,0.00,0.00,0.00
metal_nut,94.18,85.56,88.71,88.71,3.15,-5.47,0.00
pill,93.54,85.50,86.12,86.12,0.62,-7.42,0.00
screw,62.65,66.42,79.57,56.99,13.15,-5.66,-22.58
tile,100.00,99.96,99.93,99.93,-0.03,-0.07,0.00
toothbrush,98.06,69.58,89.44,89.44,19.86,-8.62,0.00
transistor,96.82,89.60,78.08,86.35,-11.52,-10.47,8.27
wood,99.89,98.82,99.65,99.65,0.83,-0.24,0.00
zipper,97.02,94.22,95.46,95.46,1.24,-1.56,0.00
